name;description;email;website;instagram;twitter;featured;visibility;street_number;street_address;city;state;country;postcode;country_code;latitude;longitude
Aplace;null;info@brixtol.com;www.brixtol.com;@brixtol;@brixtol;no;public;11;Norrlandsgatan;Stockholm;;Sweden;111 43;SE;59.3339479;18.0711277
Aplace;null;info@brixtol.com;www.brixtol.com;@brixtol;@brixtol;no;public;36;Götgatan;Stockholm;Stockholms län;Sweden;NULL;SE;59.3170911;18.0716539
Aplace;null;info@brixtol.com;www.brixtol.com;@brixtol;@brixtol;no;public;14;Davidshallsgatan;Malmö;Skåne län;Sweden;NULL;SE;55.5988451;12.999923999999965
ETC;null;info@brixtol.com;www.brixtol.com;@brixtol;@brixtol;no;public;89;Odengatan ;Stockholm;;Sweden;113 22;SE;59.3416319;18.0465438
ETC;null;info@brixtol.com;www.brixtol.com;@brixtol;@brixtol;no;public;64;Hornsgatan;Stockholm;Stockholms län;Sweden;118 21;SE;59.3188396;18.06055820000006
ETC;null;info@brixtol.com;www.brixtol.com;@brixtol;@brixtol;no;public;76;Götgatan;Stockholm;Stockholms län;Sweden;118 26;SE;59.31244350000001;18.073891300000014
Grandpa;null;info@brixtol.com;www.brixtol.com;@brixtol;@brixtol;no;public;21;Södermannagatan;Stockholm;;Sweden;116 40;SE;59.3127229;18.0810328
Grandpa;null;info@brixtol.com;www.brixtol.com;@brixtol;@brixtol;no;public;43;Fridhemsgatan;Stockholm;Stockholms län;Sweden;NULL;SE;59.33529;18.031095800000003
Grandpa;null;info@brixtol.com;www.brixtol.com;@brixtol;@brixtol;no;public;32;Gamla Brogatan;Stockholm;Stockholms län;Sweden;111 20;SE;59.3337296;18.058864500000027
Grandpa;null;info@brixtol.com;www.brixtol.com;@brixtol;@brixtol;no;public;3;Vallgatan;Gothenburg;Västra Götalands län;Sweden;411 16;SE;57.70317980000001;11.962171799999965
Six and Sons;null;info@brixtol.com;www.brixtol.com;@brixtol;@brixtol;no;public;31;Haarlemmerdijk;Amsterdam;;Netherlands;1013 KA;NL;52.3819788;4.8881956
Velour;null;info@brixtol.com;www.brixtol.com;@brixtol;@brixtol;no;public;14;Huidenstraat;Amsterdam;Noord-Holland;Netherlands;NULL;NL;52.3688839;4.885768399999961
Gorilli;null;info@brixtol.com;www.brixtol.com;@brixtol;@brixtol;no;public;296-298;Oppert;Rotterdam;Zuid-Holland;Netherlands;NULL;NL;51.9218649;4.484547499999962
Gorilli;null;info@brixtol.com;www.brixtol.com;@brixtol;@brixtol;no;public;20;Korte Lijnbaan;Rotterdam;Zuid-Holland;Netherlands;NULL;NL;51.9216691;4.4747760999999855
Vallgatan 12;null;info@brixtol.com;www.brixtol.com;@brixtol;@brixtol;no;public;12;Vallgatan;Gothenburg;Västra Götalands län;Sweden;411 16;SE;57.703614;11.964379000000008
Lyyk;null;info@brixtol.com;www.brixtol.com;@brixtol;@brixtol;no;public;74;Griboyedov Canal,;Sankt-Peterburg;Saint Petersburg;Russia;190068;RU;59.92589369999999;30.310324600000058
Superconscious;null;info@brixtol.com;www.brixtol.com;@brixtol;@brixtol;no;public;22;Weinbergsweg;Berlin;Berlin;Germany;D-10119;DE;52.5309637;13.402064999999993
Project 4;null;info@brixtol.com;www.brixtol.com;@brixtol;@brixtol;no;public;19;Larsbjørnsstræde;København;;Denmark;1454;DK;55.6786885;12.568931199999952
Spares;null;info@brixtol.com;www.brixtol.com;@brixtol;@brixtol;no;public;3-27-29;Noke Sawara-ku;Fukuoka;Fukuoka Prefecture;Japan;814-0171;JP;33.5432533;130.34538750000002
Chewing Gum;null;info@brixtol.com;www.brixtol.com;@brixtol;@brixtol;no;public;61;Königsplatz;Kassel;Hessen;Germany;34117;DE;51.316653;9.498750200000018
Coutie;null;info@brixtol.com;www.brixtol.com;@brixtol;@brixtol;no;public;10;Stammheimer Straße;Kornwestheim;Baden-Württemberg;Germany;70806;DE;48.8598671;9.177767399999993
